trade_date,date_str,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,dif,dea,macd,kdj_k,kdj_d,kdj_j,rsi6,rsi12,rsi24,boll_upper,boll_mid,boll_lower
20260112,2026-01-12,1419.1,1431.0,1417.1,1423.23,1419.1,4.13,0.291,36082.66,5135636.033,1421.2,1411.5,1414.45,1434.62,-3.6106,-6.6522,6.0832,68.35,59.75,85.54,79.72,55.71,48.52,1441.99,1414.45,1386.91
20260113,2026-01-13,1426.79,1429.52,1408.99,1411.0,1423.23,-12.23,-0.8593,39168.66,5555633.779,1417.8,1411.19,1413.97,1433.89,-3.6923,-6.0602,4.7358,64.42,61.31,70.65,31.65,53.61,48.43,1441.39,1413.97,1386.54
20260114,2026-01-14,1411.0,1422.25,1396.18,1398.01,1411.0,-12.99,-0.9206,51757.97,7285041.159,1412.73,1410.79,1412.57,1432.89,-4.7505,-5.7983,2.0956,54.57,59.06,45.57,21.08,44.22,49.33,1440.25,1412.57,1384.89
20260115,2026-01-15,1396.02,1402.83,1388.58,1388.89,1398.01,-9.12,-0.6524,40907.14,5698739.671,1408.05,1410.71,1410.91,1431.67,-6.2529,-5.8892,-0.7274,38.87,52.33,11.95,19.4,41.52,47.01,1440.06,1410.91,1381.76
20260116,2026-01-16,1395.0,1397.5,1380.0,1382.0,1388.89,-6.89,-0.4961,55120.68,7643061.998,1400.63,1411.19,1408.36,1430.39,-7.9084,-6.293,-3.2308,27.09,43.92,-6.58,20.95,43.03,43.49,1438.22,1408.36,1378.49
20260119,2026-01-19,1381.9,1387.49,1375.0,1376.0,1382.0,-6.0,-0.4342,42286.4,5833745.442,1391.18,1406.19,1405.61,1428.86,-9.594,-6.9532,-5.2816,18.61,35.48,-15.13,8.04,45.0,40.19,1436.73,1405.61,1374.48
20260120,2026-01-20,1379.5,1381.58,1372.05,1373.55,1376.0,-2.45,-0.1781,36484.43,5021900.765,1383.69,1400.74,1403.78,1427.58,-11.0007,-7.7627,-6.476,13.26,28.07,-16.38,0.0,48.57,38.33,1437.8,1403.78,1369.77
20260121,2026-01-21,1373.56,1374.4,1350.0,1351.06,1373.55,-22.49,-1.6374,64516.25,8775880.803,1374.3,1393.51,1400.92,1426.09,-13.7715,-8.9645,-9.614,9.27,21.81,-15.79,0.0,12.83,35.42,1441.87,1400.92,1359.98
20260122,2026-01-22,1352.01,1361.76,1337.48,1340.06,1351.06,-11.0,-0.8142,59010.89,7962441.434,1364.53,1386.29,1397.53,1424.34,-16.6629,-10.5042,-12.3174,7.1,16.91,-12.5,0.0,9.95,30.86,1446.13,1397.53,1348.94
20260123,2026-01-23,1340.1,1348.0,1332.47,1337.0,1340.06,-3.06,-0.2283,61948.9,8301311.489,1355.53,1378.08,1394.34,1422.76,-18.9825,-12.1999,-13.5652,6.29,13.37,-7.86,0.0,10.1,30.74,1449.58,1394.34,1339.1
